name;name_en;category;website;address;city;geometry;info;info_en;email;phone
BaseCamp Tromsø (ski- og sykkelreparatør);BaseCamp Tromsø (ski and cycle repair);tools;https://www.facebook.com/basecamptromso/;Mellomvegen 16;9007 Tromsø;18.9486,69.64704;;;;
Bike Kitchen;Bike Kitchen;tools;https://www.facebook.com/profile.php?id=100068874124114;Strandvegen 50;9007 Tromsø;18.94056,69.64099;;;;
Bondens Marked Tromsø;Tromsø Farmers Market;food;https://www.facebook.com/BondensmarkedArktis, https://bondensmarked.no/;Stortorget;9008 Tromsø;18.95914,69.65135;;;;
Edel Antikk og Vintage;Edel Antique and Vintage;clothes;;Storgata 62;9008 Tromsø;18.95500,69.64905;;;;
Elesco (hvitevarereparatør);Elesco (appliance repair);tools;http://www.elesco.no/;Sjølundvegen 7;9016 Tromsø;18.913333,69.666493;;;;
Framtiden i Våre Hender Nord kontor;Framtiden i Våre Hender Nord office;sports;https://www.framtidennord.no/;5.etg i Rødbanken, Storgata 66 (Si fra i resepsjonen, eller avtal med Marie eller Hanne Gro);9008 Tromsø;18.9560021, 69.649255;;;;
Første lørdag i måneden: Utendørs bruktmarked;First Saturday of the month: outdoor flea market;events;https://fb.me/e/34XsP5m2x;Rødbanken, Storgata 66;9008 Tromsø;18.95552130, 69.6490254;i regi FIVH Nord;;;
getaround (bildeling);getaround (car pooling);sports;https://no.getaround.com/;App;Tidligere Nabobil;18.9927350164, 69.6644767;;;;
Gjenbruken Tromsø (NLM Second Hand);Gjenbruken Tromsø (NLM Second Hand);clothes;https://gjenbruken.no/tromso/;Strandgata 5;9008 Tromsø;18.95318,69.64613;Vi driver gjenbruksbutikken Gjenbruken (eller NLM Gjenbruk som det fortsatt står på skiltet) i Strandgata 5. Alle jobber frivillig, og overskuddet går til Misjonssambandet som bl.a. driver mange prosjekter i Afrika, Asia og Sør-Amerika. Les om prosjektene på skolehelsevann.noVåre største varegrupper er klær og andre tekstiler, kjøkkenutstyr og nips, men det er også mye annet spennende å finne. Gjenbruken skaper bærekraft både lokalt og globalt.;;;
Gullsmed Kristiansen AS (smykker/klokker);Gullsmed Kristiansen AS (jewlery/watch repair);tools;;Kirkegata 14;9008 Tromsø;18.95536,69.64851;;;;
HappyCow - vegetar/vegan matguide;HappyCow - vegan and vegetarian food guide;food;https://www.happycow.net/europe/norway/tromsoe/;Web;Global;18.97028, 69.64623;Matguide hvor du finner du vegetariske og veganske alternativer i hele verden med brukeranmeldelelser og bilder. Finnes som app og nettside.;;;
Holt Dyrkingslag og Holt Økopark;Holt Økopark (urban farm and gardening club);sports;https://www.holtokopark.no/;Holtvegen 71;9016 Tromsø;18.909603188, 69.651710981;;;;
Lyngen (opplevelser);Lyngen (excursions);bike;;Her kan man gå seg en tur, fjellet kaller. Gode bussforbindelser.;Lyngen;18.966695, 69.629080;;;;
Mobit Stakkevollvegen - Tromsø (mobil/data reparasjon);Mobit (technology repair);tools;https://www.facebook.com/mobitStakkevollvegen/;Stakkevollvegen 96;9010 Tromsø;18.96897,69.66717;;;;
OmMøblert;OmMøblert;clothes;http://www.ommoblert.no/;Skippergata 35-39, Inngang fra, Otto Sverdrups gate;9008 Tromsø;18.96485,69.65589;;;;
PC-legen (datareparasjon);PC-legen (computer and laptop repair);tools;http://www.pc-legen.no/;Th Øiens gate 9;9009 Tromsø;18.9499857207, 69.654114676;;;;
Perfekt Renseri AS;Perfekt Renseri AS;clothes;;Grønnegata 99;9008 Tromsø;18.95748,69.65264;;;;
Postludium - bruktbutikk;Postludium - second-hand store;clothes;https://kirkensbymisjon.no/gjenbruksbutikken-postludium/;Skippergata 4 A;9008 Tromsø;18.96034,69.65279;gjør diverse syjobber som reparasjon;;;
Rebell Remiks Bærekraftssenter (gjenbruk & kafé);Rebell Remiks (2nd Hand/cafe);clothes;https://blirebell.no/;Kvaløyvegen 329;9016 Tromsø;18.9198051,69.669132324;Vi har varemottak for salgbare varer som noen kan se nytte i.  Du kan også finne møbler til hybelen eller leiligheten til en billig penge. Vi tilbyr gratis henting av møbler som er salgbare, og i kan også levere avfall til returstasjonen for en billig penge.Utover hsøste vil det bli arrangert både sykurs, malekurs i vårt verksted. Det jobbes med tilbud om å låne/leie symaskin og enkle verktøy for små reparasjoner. Våre egne,  store Pent:Brukt-markeder er kjempepopulære og arrangeres med jevne mellomrom.Det står mye på agendaen utover høsten, og som vi jobber med å iversette. Og hver lørdag har vi kafe med hyggelige priser. Det er lokale idrettslag og foreninger som driver kafeen, og får.;;;
Rebell Remiks Bærekraftssenter (sykurs, verktøyutlån);Rebell Remiks (repair/sewing course);tools;https://blirebell.no/;Kvaløyvegen 329;9016 Tromsø;18.92023238, 69.6690853;;;;
REKO-Ringen (direktehandel fra bonden);REKO-Ringen (buy directly from local farms);food;https://www.facebook.com/groups/rekotromso/;Breiviklia 2;9019 Tromsø;18.981207,69.678623;(pop-up sjekk Facebook), parkeringsplass utenfor Breivikahallen;;;
SJØMATGUIDEN – VELG MILJØVENNLIG SJØMAT;SJØMATGUIDEN – seafood guide for environmentally concious seafood choices;food;https://www.wwf.no/sjømatguiden;Web;Velg riktig i butikken;18.96391, 69.64420;Bruk denne sjømatguiden når du handler fisk i butikk. Mange fiskemetoder på mange typer matfisk er rødt lys (truet fiskebestand, miljøfiendtlig). Se iallefall etter MSC eller FSC sertifiseringsmerkene når du handler fisk.;;;
Steget Videre Skomakeri;Steget Videre Skomakeri (shoemaker);tools;https://www.stegetvidere.no;Torgcenteret 1.etg, Storgata 81;9008 Tromsø;18.95832,69.65071;OMSÅLING REPARASJONER GLIDELÅS GROVSØM;;;
Svermeri Kafé og Redesign;Svermeri Kafé og Redesign;clothes;https://www.facebook.com/svermeri;Skippergata 2;9008 Tromsø;18.95992783, 69.6527366;;;;
Svipper (lokal og regional buss);Svipper (local and regional bus);bike;https://svipper.no/;Samuel Arnesens gate 5, 2. etg;Troms-regionen;18.960095263, 69.6471734924;;;;
TORSDAGER: Fiksekveld på Tromsø folkeverksted kl 18:00-20:30;Thursdays: Repair evenings, Tromsø folkeverksted 18:00-20:30 (reuse and repair);events;https://fb.me/e/32jZipQiQ;Adolf Thomsens gate 5;9008 Tromsø;18.9572390, 69.649386433;Gratis reparasjons- og hobbyverksted. Fellesskap hvor du får hjelp til å bruke verktøy og utstyr for å reparere og vedlikeholde SKI, SYKKEL, TEKSTIL og en god del mer. Frivillig drevet av FIVH Tromsø som veileder deg med verktøyene og reparasjonene. Men du må oftest reparere og føle på mestringa sjæl.;;;
Trenger vi flere matvalg på kartet?;Do we need more food spots on the map?;food;https://forms.office.com/e/mausrY1Qey;Contribute by adding places to the guide;Tromsø;18.94782,69.67012;Bidra og legg til steder i guiden;Contribute by adding places to the guide;;
Tromsø bibliotek;Tromsø public library;sports;http://www.tromso.kommune.no/bibliotek;Grønnegata 94;9008 Tromsø;18.954709089, 69.650710018;Bøker, gamle og nye, filmer, spill, kaffe og aviser.;;;
Tromsø Bruktbokhandel;Tromsø Bruktbokhandel (used bookstore);clothes;https://www.facebook.com/Troms%C3%B8-Bruktbokhandel-478411402273244/;Kirkegata 6 (til venstre bak City to Summit);9008 Tromsø;18.95644,69.64827;;;;
Tromsø Folkeverksted (regi Framtiden i våre hender Tromsø);Tromsø Folkeverksted (hobby workshop, free tools);tools;https://www.framtidennord.no/;Samuel Arnesens gate 5;9008 Tromsø;18.9569737, 69.64918471;;;;
Tromsø Frimerke & Mynt (samt bøker/spill);Tromsø Frimerke & Mynt (collectibles, games, and books);clothes;https://www.facebook.com/TromsoFrimerkeogMynt/?locale=nb_NO;Storgata 81B;9008 Tromsø;18.95769,69.65078;;;;
Tromsø Husflidslag;Tromsø Husflidslag (handcraft);tools;https://husflid.no/lag/troms-regionhusflidslag/tromso-husflidslag/;Troms fylkeskultursenter Kysten Strandveien 65;9006 Tromsø;18.933538,69.637803;Kurs i diverse;;;
Tromsø Outdoor (service/reparasjon);Tromsø Outdoor (service and repair);tools;http://www.tromsooutdoor.no/;Fredrik Langes gate 14;9008 Tromsø;18.95797,69.64935;Rental of euqipment (bikes, ski, etc), service and repair.;Rental of euqipment (bikes, ski, etc), service and repair.;;
Tromsø Outdoor (utleie av sykkel/ski);Tromsø Outdoor (ski and cycle rental);bike;http://www.tromsooutdoor.no/;Fredrik Langes gate 14;9008 Tromsø;18.95797,69.64926;;;;
Tromsø Ski og Sykkel (service/reparasjon);Tromsø Ski og Sykkel (service and repair);tools;https://www.tromsoskiogsykkel.no/;Ærfuglvegen 3B;9015 Tromsø;18.93028,69.67523;;;;
