name,name_en,category,website,address,city,geometry,info,info_en,email,phone
Narvik Frivillighetssentralen/BUA,Narvik Volunteer Centre,clothes,https://narvik.frivilligsentral.no/,Frydenlundsgata 11,8516 Narvik,"17.420752526986213, 68.43978945174662","
Narvik Frivilligsentral er en ideell forening og en møteplass mellom mennesker, uansett livssyn, bakgrunn og funksjonsnivå. Sentralen skal bidra til en positiv utvikling i samarbeid mellom innbyggere, frivillige organisasjoner og offentlig sektor i Narvik kommune.","Narvik Volunteer Center is a non‑profit association and a meeting place for people of all backgrounds, beliefs, and abilities. The center aims to contribute to positive development through cooperation between residents, volunteer organizations, and the public sector in Narvik municipality",narvik.frivilligsentral.no,991796991
Røde Kors Bruktikken,Red Cross Second Hand Shop,clothes,https://www.facebook.com/BruktikkenNarvikRodeKors/,Kongensgate 20,8514 Narvik,"17.425634169667905, 68.43512421866454",Brukt butikk klær og tilbehør,Second hand shop clothing and more,styret@narvikrodekors.no,4799428680
Agenda AS Kaféen på Havna og Bruktikken,Agenda AS Cafe and Second Hand Shop,clothes,https://www.skoringennarvik.no/,Fagernesveien 22,8514 Narvik,"17.430110513329954, 68.42497881015211","Butikken er en bruktbutikk og kafé drevet av Agenda AS. De holder til i Fagernesveien 22 og tar imot det meste som kan selges, med unntak av klær, hygieneartikler, elektriske varer og enkelte bokserier. Varebehovet varierer, og de må av og til si nei på grunn av plass. De setter pris på henvendelser og kan hente varer hjemme hos folk.","Thrift store and cafe, household items and clothing",,4797032057
Skoringen - skomaker,Skoringen - shoemaker,clothes,,"Amfi Narvik Storsenter, Kongensgate 66",8514 Narvik,"17.435058088212628, 68.44088703356275","Reparasjon av sko, skobutikk",Shoemaker and shoe shop,,4721079625
"Klavenes Craft As (Fru K) (Møbelomtrekking, klesreparasjon)",Klavenes Craft As (Fru K) (furniture repair & clothes repair),tools,https://www.facebook.com/klavenescraft/,Dronningens Gate 69,8514 Narvik,"17.426168568565974, 68.43259291735394",Omtrekking av møbler og Reperasjon av klær,Furniture repair and Clothes repair,ikla@online.no,4790222552
Narvik Sykkelverksted,Narvik Bicycle mechanic,tools,,Toppen 1,8515 Narvik,"17.443784349292546, 68.43685739129357",Narvik Sykkelverksted,Narvik Bicycle mechanic,,4795826916
Evade Sykkelservice Narvik,Evade Bicycle mechanic,tools,,Risnakken 6,8520 Ankenes,"17.376559835288962, 68.42058440044823",Evade Sykkelservice Narvik,Evade Sykkelservice Narvik,,4748604489
Narvik bibliotek,Narvik Library,sports,https://narvikbibliotek.no/nb,Kongensgate 39,8514 Narvik,"17.426000582389396, 68.43813988133581",Narvik bibliotek,Narvik Library,,4776912010
Peppes Pizza,Peppes Pizza,food,http://peppes.no/,Kongensgate 66,8511 Narvik,"17.436032256388497, 68.44166709929767",Veganske og vegetar muligheter,"Serves meat, vegan options available. Norwegian restaurant chain offering vegan pizza as well as vegan aioli, a burger, and salad.",,
Yuuka Yuuka Sushi ,Yuuka Yuuka Sushi ,food,http://www.yuuka-yuuka.no/,Kongensgate 66,8514 Narvik,"17.435609226529436, 68.4413641636293",Veganske og vegetar muligheter,"Serves meat, vegan options available. Sushi and poke bowl restaurant offering three vegan sushi menus, six types of vegan sushi rolls, and one vegan poke bowl. Vegan options are clearly labeled. ",,
Universitetsbiblioteket Narvik,University Library Narvik,sports,,Lodve Langesgate 2,8514 Narvik,"17.433972074967368, 68.43649923529895",Universitetsbiblioteket Narvik,University Library Narvik,,4777644800
Nordland fylkesbibliotek,Nordland County Library,sports,https://bibliotek.nfk.no/,Kongensgate 39,8514 Narvik,"17.42521734528186, 68.43706704789037",Nordland fylkesbibliotek,Nordland County Library,,4790084183
Ornesvika badeplass,Ornesvika ocean swim spot,sports,,Rombaksveien 71,8517 Narvik,"17.455864324899302, 68.44982823984387",Ornesvika - Narviks fineste badeplass,Ornesvika - Narviks finest ocean swim spot,,
